"side","sequenceId","entities","minFrames","maxFrames","meanFrames","minTicks","maxTicks","meanTicks","meanExactRgbaMastersWithinSequence","semanticStatus"
"main","0","216","2","2","2","53","59","53.14","2","RAW_SEQUENCE_IDS_ONLY"
"main","1","216","2","2","2","44","65","64.81","2","RAW_SEQUENCE_IDS_ONLY"
"main","2","216","2","2","2","25","30","26.97","2","RAW_SEQUENCE_IDS_ONLY"
"main","3","216","2","2","2","14","27","14.14","2","RAW_SEQUENCE_IDS_ONLY"
"main","4","216","1","2","1","7","74","36.73","1","RAW_SEQUENCE_IDS_ONLY"
"main","5","216","1","1","1","7","11","7.08","1","RAW_SEQUENCE_IDS_ONLY"
"main","6","216","1","1","1","7","37","7.15","1","RAW_SEQUENCE_IDS_ONLY"
"main","7","216","2","12","2.12","46","112","52.55","2.03","RAW_SEQUENCE_IDS_ONLY"
"main","8","216","2","7","2.02","46","74","52.34","2","RAW_SEQUENCE_IDS_ONLY"
"main","9","216","2","15","2.29","46","97","53.02","2.13","RAW_SEQUENCE_IDS_ONLY"
"main","10","216","2","10","2.23","43","164","53.69","2.06","RAW_SEQUENCE_IDS_ONLY"
"main","11","216","2","2","2","11","42","11.17","2","RAW_SEQUENCE_IDS_ONLY"
"main","12","216","2","2","2","74","74","74","2","RAW_SEQUENCE_IDS_ONLY"
"main","13","216","1","1","1","5","37","36.85","1","RAW_SEQUENCE_IDS_ONLY"
"main","14","216","2","2","2","56","62","56.06","2","RAW_SEQUENCE_IDS_ONLY"
"main","15","216","1","1","1","16","37","30.92","1","RAW_SEQUENCE_IDS_ONLY"
"main","16","216","1","2","2","31","53","52.9","1.95","RAW_SEQUENCE_IDS_ONLY"
"main","17","216","1","2","2","31","68","64.86","1.96","RAW_SEQUENCE_IDS_ONLY"
"main","18","216","1","2","2","25","31","27","1.96","RAW_SEQUENCE_IDS_ONLY"
"main","19","216","1","2","2","14","31","14.13","1.96","RAW_SEQUENCE_IDS_ONLY"
"main","20","216","1","1","1","6","37","36.54","0.99","RAW_SEQUENCE_IDS_ONLY"
"main","21","216","1","2","2","9","31","11.06","1.96","RAW_SEQUENCE_IDS_ONLY"
"main","22","216","1","2","2","31","74","73.5","1.96","RAW_SEQUENCE_IDS_ONLY"
"main","23","216","1","1","1","31","37","36.97","0.99","RAW_SEQUENCE_IDS_ONLY"
"main","24","216","1","2","2","31","68","56","1.97","RAW_SEQUENCE_IDS_ONLY"
"main","25","216","1","1","1","31","37","31.08","0.99","RAW_SEQUENCE_IDS_ONLY"
"main","26","216","4","4","4","27","27","27","2.99","RAW_SEQUENCE_IDS_ONLY"
"main","27","216","1","1","1","2","37","3.16","0.99","RAW_SEQUENCE_IDS_ONLY"
"main","28","216","2","2","2","36","46","36.05","2","RAW_SEQUENCE_IDS_ONLY"
"main","29","216","2","2","2","23","48","27.66","2","RAW_SEQUENCE_IDS_ONLY"
"main","30","216","2","2","2","25","48","46.64","2","RAW_SEQUENCE_IDS_ONLY"
"main","31","216","1","1","1","23","37","36.68","1","RAW_SEQUENCE_IDS_ONLY"
"main","32","216","1","2","1","7","37","8.57","1","RAW_SEQUENCE_IDS_ONLY"
"main","33","216","2","2","2","26","68","67.81","2","RAW_SEQUENCE_IDS_ONLY"
"main","34","216","1","1","1","31","37","36.92","1","RAW_SEQUENCE_IDS_ONLY"
"main","35","216","1","1","1","2","37","36.51","1","RAW_SEQUENCE_IDS_ONLY"
"main","36","216","1","1","1","10","37","36.88","1","RAW_SEQUENCE_IDS_ONLY"
"main","37","216","1","1","1","2","37","36.48","1","RAW_SEQUENCE_IDS_ONLY"
"main","38","216","1","1","1","2","37","7.83","1","RAW_SEQUENCE_IDS_ONLY"
"main","39","216","1","1","1","2","37","3.81","1","RAW_SEQUENCE_IDS_ONLY"
"sub","0","216","2","2","2","53","59","53.14","2","RAW_SEQUENCE_IDS_ONLY"
"sub","1","216","2","2","2","44","65","64.81","2","RAW_SEQUENCE_IDS_ONLY"
"sub","2","216","1","1","1","7","11","7.08","1","RAW_SEQUENCE_IDS_ONLY"
"sub","3","216","1","1","1","7","37","7.15","1","RAW_SEQUENCE_IDS_ONLY"
"sub","4","216","1","1","1","5","37","36.85","1","RAW_SEQUENCE_IDS_ONLY"
"sub","5","216","1","1","1","16","37","30.92","1","RAW_SEQUENCE_IDS_ONLY"
"sub","6","216","1","1","1","2","37","3.16","1","RAW_SEQUENCE_IDS_ONLY"
"sub","7","216","2","2","2","36","46","36.05","2","RAW_SEQUENCE_IDS_ONLY"
"sub","8","216","2","2","2","23","48","27.66","2","RAW_SEQUENCE_IDS_ONLY"
"sub","9","216","2","2","2","25","48","46.64","2","RAW_SEQUENCE_IDS_ONLY"
"sub","10","216","1","1","1","23","37","36.68","1","RAW_SEQUENCE_IDS_ONLY"
"sub","11","216","1","1","1","10","37","36.88","1","RAW_SEQUENCE_IDS_ONLY"
"sub","12","216","1","1","1","2","37","36.48","1","RAW_SEQUENCE_IDS_ONLY"
