"fieldId","cageDefinitionIndex","role","firstPlayableBatch","startingAnchor","nativeWidthPx","nativeHeightPx","groundWidthCells","groundHeightCells","capacity","effectKind","effectTarget","originalReplacementStatus"
"field_cm01_01","0","SHOP_CAGE","true","8","96","112","12","14","2","STAT_UP","DEFENSE","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm02_01","1","SHOP_CAGE","true","4","192","200","24","25","6","STAT_UP","HP","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm03_01","2","SHOP_CAGE","false","","288","200","36","25","10","STAT_UP","SPEED","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm04_01","3","SHOP_CAGE","false","","288","112","36","14","6","STAT_UP","TP","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm05_01","4","SHOP_CAGE","false","","240","200","30","25","8","STAT_UP","ATTACK","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm06_01","5","SHOP_CAGE","false","","336","200","42","25","8","FAMILY_UP","データ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm07_01","6","SHOP_CAGE","false","","240","200","30","25","8","FAMILY_UP","リュウ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm08_01","7","SHOP_CAGE","false","","240","200","30","25","6","FAMILY_UP","ケモノ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm09_01","8","SHOP_CAGE","false","","288","200","36","25","8","FAMILY_UP","ミズ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm10_01","9","SHOP_CAGE","false","","288","200","36","25","8","FAMILY_UP","トリ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm11_01","10","SHOP_CAGE","false","","240","200","30","25","6","FAMILY_UP","ムシクサ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm12_01","11","SHOP_CAGE","false","","240","200","30","25","6","FAMILY_UP","ムシクサ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm13_01","12","SHOP_CAGE","false","","192","200","24","25","6","RESIST_UP","ひかり","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm14_01","13","SHOP_CAGE","false","","240","200","30","25","6","FAMILY_UP","アンコク","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm15_01","14","SHOP_CAGE","false","","240","200","30","25","6","FAMILY_UP","キカイ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm16_01","15","SHOP_CAGE","true","7","96","112","12","14","2","RECOVER","HP_AND_STRESS","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm17_01","16","SHOP_CAGE","false","","192","200","24","25","6","FAMILY_UP","ワクチン","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm18_01","17","SHOP_CAGE","false","","144","200","18","25","4","FAMILY_UP","セイ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm19_01","18","SHOP_CAGE","false","","384","112","48","14","8","RECOVER","HP_AND_STRESS","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm20_01","19","SHOP_CAGE","false","","240","200","30","25","6","RESIST_UP","ねつ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm21_01","20","SHOP_CAGE","false","","240","200","30","25","8","RESIST_UP","さむさ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm22_01","21","SHOP_CAGE","false","","192","200","24","25","6","RESIST_UP","かみなり","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm23_01","22","SHOP_CAGE","false","","144","200","18","25","4","FAMILY_UP","ウイルス","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm24_01","23","SHOP_CAGE","false","","96","112","12","14","2","STAT_UP","WISDOM","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm25_01","24","SHOP_CAGE","false","","192","112","24","14","2","AUTO_CARE","FOOD_AND_DROPPINGS","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm26_01","25","SHOP_CAGE","false","","240","200","30","25","8","AUTO_CARE","FOOD_AND_DROPPINGS","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm27_01","26","SHOP_CAGE","false","","192","200","24","25","6","STAT_UP","BATTLE_COUNT","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm28_01","35","WAITING_ROOM","true","0","240","200","30","25","","NONE","","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm29_01","","STRUCTURAL_LID","false","","96","112","","","","","","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm30_01","27","SHOP_CAGE","false","","96","112","12","14","2","STAT_UP","HP","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm31_01","28","SHOP_CAGE","false","","192","112","24","14","6","RECOVER","HP_AND_STRESS","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm32_01","29","SHOP_CAGE","false","","96","112","12","14","2","FAMILY_UP","セイ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm33_01","","UNREFERENCED","false","","96","112","","","","","","NOT_A_GAMEPLAY_REQUIREMENT"
"field_cm34_01","30","SHOP_CAGE","false","","96","112","12","14","2","STAT_UP","ATTACK","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm35_01","31","SHOP_CAGE","false","","96","112","12","14","2","FAMILY_UP","リュウ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm36_01","","UNREFERENCED","false","","96","112","","","","","","NOT_A_GAMEPLAY_REQUIREMENT"
"field_cm37_01","32","SHOP_CAGE","false","","96","112","12","14","2","FAMILY_UP","トリ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm38_01","","UNREFERENCED","false","","96","112","","","","","","NOT_A_GAMEPLAY_REQUIREMENT"
"field_cm39_01","33","SHOP_CAGE","false","","96","112","12","14","2","FAMILY_UP","ミズ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
"field_cm40_01","34","SHOP_CAGE","false","","96","112","12","14","2","RESIST_UP","やみ","NOT_ACCEPTED_AS_ORIGINAL_REPLACEMENT"
