"entityId","kind","mainSequences","subSequences","slots","exactRgbaMasters","blankSlots","motionContract","status"
"e000_digitama","EGG","2","2","26","12","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/e000_digitama/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"e001_digitama","EGG","2","2","26","12","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/e001_digitama/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"e002_digitama","EGG","2","2","26","12","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/e002_digitama/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"e003_digitama","EGG","2","2","26","12","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/e003_digitama/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"e004_digitama","EGG","2","2","26","12","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/e004_digitama/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"e005_digitama","EGG","2","2","26","12","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/e005_digitama/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"e006_digitama","EGG","2","2","26","12","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/e006_digitama/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"e007_digitama","EGG","2","2","26","12","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/e007_digitama/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m001_zurumon","CREATURE","40","13","83","54","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m001_zurumon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m002_choromon","CREATURE","40","13","83","51","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m002_choromon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m003_nyokimon","CREATURE","40","13","82","49","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m003_nyokimon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m004_bubbmon","CREATURE","40","13","83","51","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m004_bubbmon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m005_pitchmon","CREATURE","40","13","83","45","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m005_pitchmon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m006_punimon","CREATURE","40","13","83","47","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m006_punimon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m007_botamon","CREATURE","40","13","83","40","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m007_botamon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m008_poyomon","CREATURE","40","13","83","31","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m008_poyomon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m009_mokumon","CREATURE","40","13","80","47","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m009_mokumon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m010_yukimibotamon","CREATURE","40","13","83","40","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m010_yukimibotamon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m011_yuramon","CREATURE","40","13","82","43","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m011_yuramon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m012_petimon","CREATURE","40","13","82","40","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m012_petimon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m101_caprimon","CREATURE","40","13","83","55","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m101_caprimon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m102_koromon","CREATURE","40","13","82","47","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m102_koromon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m103_tanemon","CREATURE","40","13","80","50","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m103_tanemon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m104_tunomon","CREATURE","40","13","83","48","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m104_tunomon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m105_tokomon","CREATURE","40","13","81","51","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m105_tokomon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m106_nyaromon","CREATURE","40","13","83","38","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m106_nyaromon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m107_pagumon","CREATURE","40","13","83","45","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m107_pagumon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m108_pyokomon","CREATURE","40","13","83","48","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m108_pyokomon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m109_pukamon","CREATURE","40","13","76","45","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m109_pukamon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m110_petimemramon","CREATURE","40","13","83","40","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m110_petimemramon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m111_mochimon","CREATURE","40","13","83","37","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m111_mochimon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m112_bebydomon","CREATURE","40","13","75","46","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m112_bebydomon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m113_sunmon","CREATURE","40","13","80","43","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m113_sunmon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m114_moonmon","CREATURE","40","13","83","38","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m114_moonmon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m201_agumon","CREATURE","40","13","83","47","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m201_agumon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
"m202_armadimon","CREATURE","40","13","80","45","0","docs/art/production/characters/appearance-refresh-v1/generated/entities/m202_armadimon/motion-contract.json","COST_REFERENCE_NOT_ORIGINAL_ART_COMPLETION"
