"ordinal","field_id","name_en","name_jp","dimensions","layout_cells","topology_class","core_field_layer","object_layer","object_placement_count","object_cell_count","atr_layer","col_layer","original_composition_confidence","production_batch","blocker","rights","runtime_status"
"1","field_cm01_01","Vacant Lot","あきち","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","4","4","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"2","field_cm02_01","Exercise Ground","うんどうじょう","24x25","600","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","5","5","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"3","field_cm03_01","Arena","きょうぎじょう","36x25","900","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","6","3","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"4","field_cm04_01","Dojo","どうじょう","36x14","504","WIDE","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","3","3","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"5","field_cm05_01","Gym","ジム","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","6","3","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"6","field_cm06_01","Laboratory","けんきゅうじょ","42x25","1050","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","15","13","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"7","field_cm07_01","Volcano","かざん","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","0","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"8","field_cm08_01","Grassland","そうげん","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","2","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"9","field_cm09_01","Beach","ビーチ","36x25","900","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","2","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"10","field_cm10_01","Mine","こうざん","36x25","900","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","7","4","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM01_CM10","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"11","field_cm11_01","Forest","もり","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","9","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM11_CM20","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"12","field_cm12_01","Jungle","ジャングル","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AFTER_OWNER_DESIGN_NO_ORIGINAL_INDEX_GUESS","7","2","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","CORE_FIELD_RECOVERED_OBJECT_LAYER_CONFLICT","CM11_CM20","ORIGINAL_OBJECT_INDEX_CONFLICT_DO_NOT_INFER","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"13","field_cm13_01","Shrine","しんでん","24x25","600","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","8","10","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM11_CM20","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"14","field_cm14_01","Graveyard","はかば","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","13","14","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM11_CM20","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"15","field_cm15_01","Factory","こうじょう","30x25","750","RECTANGULAR","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","23","16","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM11_CM20","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
"16","field_cm16_01","Mini Clinic","ミニほけんしつ","12x14","168","COMPACT","REBUILD_FROM_APPROVED_CLEAN_ROOM_TILE_KIT","REBUILD_AS_SEPARATE_OBJECT_BUNDLE","2","8","PRESENT_VERIFIED_ROM","PRESENT_VERIFIED_ROM","FULL_COMPOSITION_CONFIDENCE","CM11_CM20","NONE","REFERENCE_METADATA_ONLY_NO_ORIGINAL_PIXELS","NOT_RUNTIME_READY"
