path,relativePath,bytes,scope
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\README.md,02_CHARACTERS/use-ready-pixi-hd4x-224/README.md,1466,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\manifest.json,02_CHARACTERS/use-ready-pixi-hd4x-224/manifest.json,59292,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\manifest.json,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/manifest.json,2591372,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\_catalog\08_FULL_FAMILY_CONVERSION.html,_catalog/08_FULL_FAMILY_CONVERSION.html,1050465,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\_catalog\07_RAW_NITRO_ART_BY_ROM_DIRECTORY.html,_catalog/07_RAW_NITRO_ART_BY_ROM_DIRECTORY.html,1070351,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\_catalog\06_CONTACT_SHEETS_AND_REPORTS.html,_catalog/06_CONTACT_SHEETS_AND_REPORTS.html,2238,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\_catalog\05_NITRO_3D.html,_catalog/05_NITRO_3D.html,96732,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\_catalog\04_VFX.html,_catalog/04_VFX.html,18677,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\_catalog\03_MAPS.html,_catalog/03_MAPS.html,487305,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\_catalog\02_CHARACTERS.html,_catalog/02_CHARACTERS.html,1162062,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\_catalog\01_UI.html,_catalog/01_UI.html,381386,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\_catalog\00_METADATA.html,_catalog/00_METADATA.html,37020,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\index.html,index.html,2286,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
R:\Projects\Championship2026\YDIJ_PRIVATE_ROM_ART_PACK\02_CHARACTERS\use-ready-pixi-hd4x-224\batch-07\m541_dukemon\sub-atlas-00.png,02_CHARACTERS/use-ready-pixi-hd4x-224/batch-07/m541_dukemon/sub-atlas-00.png,44821,EXTERNAL_RESEARCH_REFERENCE_NOT_PRODUCT_SOURCE
