path,group,exists,inHead,gitStatus,bytes,modifiedUtc,sha256
.gitattributes,.gitattributes,True,True,  ,203,2026-08-27T17:55:14.835525+00:00,
.github/workflows/ci.yml,.github/workflows,True,True,  ,527,2026-08-28T17:55:59.518793+00:00,
.github/workflows/github-pages.yml,.github/workflows,True,True,  ,1166,2026-09-01T00:13:38.394222+00:00,
.gitignore,.gitignore,True,True,  ,1013,2026-09-01T00:06:21.318554+00:00,
.serena/.gitignore,.serena/.gitignore,True,True,  ,28,2026-08-29T23:10:18.508168+00:00,
.serena/memories/battle-translation-slice.md,.serena/memories,True,True,  ,306,2026-08-30T22:44:04.019886+00:00,
.serena/memories/claude-code/battle-arithmetic-handoff.md,.serena/memories,True,True,  ,5769,2026-08-30T22:44:03.801152+00:00,
.serena/memories/core.md,.serena/memories,True,True,  ,755,2026-08-30T22:42:56.127651+00:00,
.serena/memories/memory_maintenance.md,.serena/memories,True,True,  ,2075,2026-08-30T05:25:01.828773+00:00,
.serena/memories/original-layout/video-evidence-index-2026-09-03.md,.serena/memories,True,False,??,1171,2026-09-03T05:48:33.824904+00:00,
.serena/project.yml,.serena/project.yml,True,True,  ,10489,2026-08-30T22:41:39.347507+00:00,
AGENTS.md,AGENTS.md,True,True, M,2085,2026-09-05T03:58:47.568415+00:00,412f8392015caab853d1ed5401c56db94a35f27825845293786f29e6e60da3b3
CLAUDE_REBUILD_STATUS.json,CLAUDE_REBUILD_STATUS.json,True,True, M,112808,2026-09-02T20:20:01.323426+00:00,
CLAUDE_SYNC_DELTA.json,CLAUDE_SYNC_DELTA.json,True,True, M,153985,2026-09-05T01:59:33.033239+00:00,
PLAY_CHAMPIONSHIP.bat,PLAY_CHAMPIONSHIP.bat,True,True,  ,4250,2026-08-27T18:07:38.358705+00:00,
README.md,README.md,True,True,  ,4426,2026-09-01T00:06:21.346928+00:00,2ffaae6a47b62de8b27ff9a41369d3c5267aa6b8212c688ff739614636ca33e0
START_CHAMPIONSHIP.cmd,START_CHAMPIONSHIP.cmd,True,True,  ,622,2026-08-31T23:38:06.669838+00:00,
_tmp_audit_c1c9.json,_tmp_audit_c1c9.json,True,False,??,34101,2026-09-03T22:30:43.911836+00:00,
_tmp_audit_c1c9.py,_tmp_audit_c1c9.py,True,False,??,21255,2026-09-03T21:07:36.733921+00:00,
_tmp_audit_c9_followup.py,_tmp_audit_c9_followup.py,True,False,??,3444,2026-09-03T21:09:57.303856+00:00,
assets/production/ART_PRODUCTION_INDEX.json,assets/production,True,True, M,9320,2026-09-05T02:59:41.856886+00:00,5b2a996d28501ad4dbf08b3f779870a9ea69d8e80f0c8791c4eb346a1610e495
assets/production/README.md,assets/production,True,True,  ,305,2026-08-27T16:55:53.421007+00:00,
assets/production/battle/licensed-runtime-v1/fields/field_bm01_01/frame-00.png,assets/production,True,False,??,128649,2026-09-02T19:35:37.461471+00:00,
assets/production/battle/licensed-runtime-v1/fields/field_bm02_01/frame-00.png,assets/production,True,False,??,125843,2026-09-02T19:35:37.520641+00:00,
assets/production/battle/licensed-runtime-v1/fields/field_bm03_01/frame-00.png,assets/production,True,False,??,212178,2026-09-02T19:35:37.597968+00:00,
