assetId,role,path,referenceKind,absolute,exists,containsReplacementCharacter
art:battle-field:battle-colosseum:arena-reference,sourcePath,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-colosseum:arena-reference,evidenceRef,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-colosseum:arena-reference,component,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-cyberspace:arena-reference,sourcePath,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-cyberspace:arena-reference,evidenceRef,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-cyberspace:arena-reference,component,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-desert:arena-reference,sourcePath,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-desert:arena-reference,evidenceRef,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-desert:arena-reference,component,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-domestadium:arena-reference,sourcePath,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-domestadium:arena-reference,evidenceRef,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-domestadium:arena-reference,component,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-grass:arena-reference,sourcePath,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-grass:arena-reference,evidenceRef,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-grass:arena-reference,component,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-hell:arena-reference,sourcePath,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-hell:arena-reference,evidenceRef,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-hell:arena-reference,component,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-island:arena-reference,sourcePath,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-island:arena-reference,evidenceRef,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
art:battle-field:battle-island:arena-reference,component,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,FILESYSTEM,True,True,False
