path,exists,inHead,gitStatus,bytes,modifiedUtc
docs/research/BATTLE_BM03_BM04_ANIMATION_TRACE_2026-09-02.json,True,False,??,3641,2026-09-01T21:54:08.576377+00:00
docs/research/BATTLE_BM03_BM04_ANIMATION_TRACE_2026-09-02.md,True,False,??,1685,2026-09-01T21:52:33.488214+00:00
docs/research/BATTLE_BM04_BM08_BM11_OBJECT_TRACE_2026-09-02.json,True,False,??,9861,2026-09-02T03:39:00.931081+00:00
docs/research/CAGE_IDENTITY_BINDING_ROM_TRACE_2026-09-05.json,True,False,??,14802,2026-09-05T02:40:24.623197+00:00
docs/research/CAGE_IDENTITY_BINDING_ROM_TRACE_2026-09-05.md,True,False,??,7479,2026-09-05T02:40:24.618209+00:00
docs/research/CHAMPIONSHIP_2026_DATA_READINESS_AUDIT_2026-08-29.md,True,True,  ,6455,2026-08-28T16:45:52.140997+00:00
docs/research/CHAMPIONSHIP_2026_FEATURE_GAP_MATRIX_2026-08-29.csv,True,True,  ,6681,2026-08-29T01:54:59.283309+00:00
docs/research/HUNT_FIELD_INPUT_ROM_TRACE_2026-08-29.md,True,True,  ,3857,2026-08-29T01:59:13.429989+00:00
docs/research/ORIGINAL_GAMEPLAY_MODE_CATALOG_2026-08-29.md,True,True,  ,9070,2026-08-29T01:54:59.283309+00:00
docs/research/ORIGINAL_MAP_BINDING_ROM_TRACE_2026-09-01.md,True,True, M,5394,2026-09-05T02:38:29.506213+00:00
docs/research/ORIGINAL_VIDEO_EVIDENCE_INDEX_2026-09-03.md,True,False,??,26151,2026-09-03T05:46:28.390000+00:00
docs/research/WEB_SOURCE_REGISTER_2026-08-29.csv,True,True,  ,3413,2026-08-28T17:20:31.521448+00:00
docs/research/video-BV13u411B7BK/ANALYSIS_ZH_TW.md,True,False,??,20316,2026-09-03T01:01:30.811255+00:00
docs/research/video-BV13u411B7BK/VALIDATION.json,True,False,??,285,2026-09-03T00:49:26.167749+00:00
docs/research/video-BV13u411B7BK/VIDEO_OBSERVATIONS.csv,True,False,??,22754,2026-09-03T00:47:56.603055+00:00
docs/research/video-BV13u411B7BK/VIDEO_OBSERVATIONS.json,True,False,??,40514,2026-09-03T00:47:56.589223+00:00
docs/research/video-BV1RQ4y1B7up/ANALYSIS_ZH_TW.md,True,False,??,13716,2026-09-03T05:46:40.243336+00:00
docs/research/video-BV1RQ4y1B7up/VALIDATION.json,True,False,??,2240,2026-09-03T05:48:00.417695+00:00
docs/research/video-BV1RQ4y1B7up/VIDEO_OBSERVATIONS.csv,True,False,??,9273,2026-09-03T01:02:52.390817+00:00
docs/research/video-BV1RQ4y1B7up/VIDEO_OBSERVATIONS.json,True,False,??,18066,2026-09-03T01:17:20.575291+00:00
docs/research/video-cursor-live-watch-2026-09-03/CURSOR_LIVE_WATCH_ZH_TW.md,True,False,??,8099,2026-09-03T01:04:14.956923+00:00
research/original-evidence/README.md,True,True,  ,2634,2026-08-28T21:11:04.143818+00:00
