scene_id,scene_path,category,overlay_owner,node_count,resource_count,sha256,currentVisualAcceptance,nextEvidence,currentScreenCandidates,sourceSemanticsAcceptance,reviewDetails
0,battle/battle_main_scene.nxr,Battle Runtime,OVL19,5,1,155f39a062a9d90de0b79d132e157eaffe7c36b1b081a610b542fea3f79cbde6,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_FIELD,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
1,battle/battle_sub_scene.nxr,Battle Runtime,OVL19,6,1,443cecb7f4c14cc695b4ad33403f3e186dcf1e697ff096be86e24f56ca47256b,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_FIELD,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
2,battle_menu/battle_free_select_menu.nxr,Battle Menu / Setup,OVL10,4,1,374231170c1ee2530c9af7088b97943d24a2ab56259cd3d57a79816e9666b90c,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_SELECT; CHAMPIONSHIP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
3,battle_menu/battle_menu_sub_scene.nxr,Battle Menu / Setup,OVL10,16,1,79d5cb396f2f4aeeb0b6296ebd3f59d082ebb33a21c4a84388a84ac58f3f2bf5,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_SELECT; CHAMPIONSHIP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
4,battle_menu/battle_menu_top.nxr,Battle Menu / Setup,OVL10,17,3,016127349e286657d868aa97a780b5fd96612f4e72a36453b38d74a0c9523ea7,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_SELECT; CHAMPIONSHIP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
5,battle_menu/battle_setting_scene.nxr,Battle Menu / Setup,OVL10,33,2,765263631a72f08d4f20e8ba89cccc49a09f7e4c5517c35b18844e876693e654,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_SELECT; CHAMPIONSHIP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
6,battle_menu/map_menu_scene.nxr,Battle Menu / Setup,OVL10,1,1,d850f345cf72fefb745dd774c1d0281d3b23167b78905c234e6a588fcae4e04e,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_SELECT; CHAMPIONSHIP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
7,battle_menu/team_pass_scene.nxr,Battle Menu / Setup,OVL10,3,1,f9406c6e4c19d1021e56b78b0417d13b8db25bdd1de39c834c8b04651882df80,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_SELECT; CHAMPIONSHIP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
8,battle_menu/titlematch_top_sub_scene.nxr,Battle Menu / Setup,OVL10,17,2,70951fdad6e397cf2fe12632f4803ea3311b8918f5140642d013f6c73c562361,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,BATTLE_SELECT; CHAMPIONSHIP,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
9,battle_menu_net/net_2select.nxr,Network Battle UI,OVL9/OVL10,10,1,0991cd3aaf471a5d1f421532345c6b4e7f664054b75907eb943fe419b3cb2442,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,UNIMPLEMENTED_NETWORK_PATH,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
10,battle_menu_net/net_3select.nxr,Network Battle UI,OVL9/OVL10,18,1,b4c06ea2f0b82f8e9eefcd7edce772466d5d3ac1d8ed879716671345e70381f5,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,UNIMPLEMENTED_NETWORK_PATH,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
