system,catalog,currentBinding,originalAssetExists,normalBrowserVfxAcceptance,nextEvidence
battle/atkup,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/circle,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/circle_my,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/critup,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/defup,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/earth_hit,originalVfxSystemBindings.js,NATIVE_IMPACT_POOL_TO_BATTLE_OVERLAY,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/hitspark_big,originalVfxSystemBindings.js,NATIVE_IMPACT_POOL_TO_BATTLE_OVERLAY,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/hitspark_small,originalVfxSystemBindings.js,NATIVE_IMPACT_POOL_TO_BATTLE_OVERLAY,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/hitup,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/hypereffect,originalVfxSystemBindings.js,NATIVE_SPECIAL_PRELUDE_TO_BATTLE_OVERLAY,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/hypereffect_ring,originalVfxSystemBindings.js,NATIVE_SPECIAL_PRELUDE_TO_BATTLE_OVERLAY,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/s_impact_b,originalVfxSystemBindings.js,NATIVE_IMPACT_POOL_TO_BATTLE_OVERLAY,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/s_impact_s,originalVfxSystemBindings.js,NATIVE_IMPACT_POOL_TO_BATTLE_OVERLAY,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/speedup,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/test_buff,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/test_eff,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
battle/toleup,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
common/lightup,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
common/mist,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
common/rain,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
common/sandstome,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
common/snow,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
common/snowstome,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
common/spark,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
common/time_pl,originalVfxSystemBindings.js,CALLER_AND_LIFECYCLE_REQUIRES_INDIVIDUAL_AUDIT,True,NOT_REVALIDATED_PER_EFFECT,"original caller, condition, lifetime, position, sound; compare normal current gameplay"
