definition,name,moduleId,shopRecordIndex,image,channels,capacity,nativeProgramCount,nativeCommands,nativeEntryReaction,trainingWriter,trainingTextVfx,recoveryVfx,metadataConflict,individualBrowserEffectAcceptance
0,空地,championship:2026:cage:0,83,assets/production/cage/licensed-runtime-v1/fields/field_cm01_01/frame-00.png,"[{""id"": ""DEFENSE"", ""mode"": ""UP""}]",2,3,"[[0, -1], [1, -120], [5, 1]]",30,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
1,運動場,championship:2026:cage:1,85,assets/production/cage/licensed-runtime-v1/fields/field_cm02_01/frame-00.png,"[{""id"": ""HP"", ""mode"": ""UP""}]",6,3,"[[0, -1], [1, -120], [5, 2]]",1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
2,競技場,championship:2026:cage:2,86,assets/production/cage/licensed-runtime-v1/fields/field_cm03_01/frame-00.png,"[{""id"": ""SPEED"", ""mode"": ""UP""}]",10,3,"[[0, -1], [1, -120], [5, 2]]",1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
3,道場,championship:2026:cage:3,87,assets/production/cage/licensed-runtime-v1/fields/field_cm04_01/frame-00.png,"[{""id"": ""TP"", ""mode"": ""UP""}]",6,3,"[[0, -1], [1, -120], [5, 2]]",2,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
4,健身房,championship:2026:cage:4,89,assets/production/cage/licensed-runtime-v1/fields/field_cm05_01/frame-00.png,"[{""id"": ""ATTACK"", ""mode"": ""UP""}]",8,3,"[[0, -1], [1, -200], [5, 2]]",0,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
5,研究所,championship:2026:cage:5,109,assets/production/cage/licensed-runtime-v1/fields/field_cm06_01/frame-00.png,"[{""id"": ""FAMILY_DATA"", ""mode"": ""UP""}]",8,3,"[[1, -100], [2, 10]]",29,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
6,火山,championship:2026:cage:6,93,assets/production/cage/licensed-runtime-v1/fields/field_cm07_01/frame-00.png,"[{""id"": ""FAMILY_DRAGON"", ""mode"": ""UP""}]",8,3,"[[0, -1], [1, -240], [5, 1]]",4,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
7,草原,championship:2026:cage:7,91,assets/production/cage/licensed-runtime-v1/fields/field_cm08_01/frame-00.png,"[{""id"": ""FAMILY_BEAST"", ""mode"": ""UP""}]",6,3,"[[0, -1], [1, -120]]",1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
8,海灘,championship:2026:cage:8,95,assets/production/cage/licensed-runtime-v1/fields/field_cm09_01/frame-00.png,"[{""id"": ""FAMILY_WATER"", ""mode"": ""UP""}]",8,3,"[[0, -1], [1, -240]]",1,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
9,高山,championship:2026:cage:9,97,assets/production/cage/licensed-runtime-v1/fields/field_cm10_01/frame-00.png,"[{""id"": ""FAMILY_BIRD"", ""mode"": ""UP""}]",8,3,"[[0, -1], [1, -240]]",5,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
10,森林,championship:2026:cage:10,98,assets/production/cage/licensed-runtime-v1/fields/field_cm11_01/frame-00.png,"[{""id"": ""FAMILY_INSECT_PLANT"", ""mode"": ""UP""}]",6,3,"[[0, -1], [1, -120]]",6,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
11,叢林,championship:2026:cage:11,99,assets/production/cage/licensed-runtime-v1/fields/field_cm12_01/frame-00.png,"[{""id"": ""FAMILY_INSECT_PLANT"", ""mode"": ""UP""}]",6,3,"[[0, -1], [1, -220], [5, 1]]",6,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
12,神殿,championship:2026:cage:12,107,assets/production/cage/licensed-runtime-v1/fields/field_cm13_01/frame-00.png,"[{""id"": ""RESIST_LIGHT"", ""mode"": ""UP""}]",6,3,"[[1, -120], [5, 2]]",7,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
13,墓地,championship:2026:cage:13,103,assets/production/cage/licensed-runtime-v1/fields/field_cm14_01/frame-00.png,"[{""id"": ""FAMILY_DARK"", ""mode"": ""UP""}]",6,3,"[[0, -1], [1, -200], [5, 2]]",8,nativeRaisingTraining.js -> nativeRaisingActor.js,native training lanes -> createRaisingFieldPixiPresentation.js,NOT_A_RECOVERY_CAGE,RECONCILED_NATIVE_COMMAND_SCOPE_AND_LEGACY_LAYOUT,NOT_REVALIDATED_EACH_CAGE
