assetId,domain,assetKind,logicalGroup,source,sourcePath,sourceType,originalFunction,originalRenderer,modernRenderer,productionStatus,shippingStatus,evidenceStatus,rightsStatus,replacementRequired,replacementComplete,humanApproved,runtimeQaPassed,dimensions,format,runtimeConsumer,visualQaStatus,generation,disposition,replacementAssetId,dependencies,blockers,notes
art:battle-field:battle-colosseum:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm09_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_COLOSSEUM,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm09_01; optional animated layer=none. A 3D effect never promotes this 2D arena to full 3D.
art:battle-field:battle-cyberspace:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm07_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_CYBERSPACE,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm07_01; optional animated layer=none. A 3D effect never promotes this 2D arena to full 3D.
art:battle-field:battle-desert:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm06_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_DESERT,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm06_01; optional animated layer=none. A 3D effect never promotes this 2D arena to full 3D.
art:battle-field:battle-domestadium:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm11_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_DOMESTADIUM,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm11_01; optional animated layer=none. A 3D effect never promotes this 2D arena to full 3D.
art:battle-field:battle-grass:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm02_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_GRASS,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm02_01; optional animated layer=none. A 3D effect never promotes this 2D arena to full 3D.
art:battle-field:battle-hell:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm08_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_HELL,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm08_01; optional animated layer=none. A 3D effect never promotes this 2D arena to full 3D.
art:battle-field:battle-island:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm04_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_ISLAND,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm04_01; optional animated layer=field_bm04_01_anim. A 3D effect never promotes this 2D arena to full 3D.
art:battle-field:battle-normal:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm01_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_NORMAL,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm01_01; optional animated layer=none. A 3D effect never promotes this 2D arena to full 3D.
art:battle-field:battle-southpole:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm05_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_SOUTHPOLE,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm05_01; optional animated layer=none. A 3D effect never promotes this 2D arena to full 3D.
art:battle-field:battle-stadium:arena-reference,BATTLE_FIELD,BATTLE_FIELD_REFERENCE,field_bm10_01,YDIJ Battle Field catalog,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\BATTLE_FIELD_CATALOG_11.csv,RESEARCH_DOCUMENT,BATTLE_STADIUM,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ARENA_REPLACEMENT_REQUIRED""]",field=field_bm10_01; optional animated layer=none. A 3D effect never promotes this 2D arena to full 3D.
