assetId,domain,assetKind,logicalGroup,source,sourcePath,sourceType,originalFunction,originalRenderer,modernRenderer,productionStatus,shippingStatus,evidenceStatus,rightsStatus,replacementRequired,replacementComplete,humanApproved,runtimeQaPassed,dimensions,format,runtimeConsumer,visualQaStatus,generation,disposition,replacementAssetId,dependencies,blockers,notes
art:character-animation:db-main-slot-00:rom-contract,CHARACTER_ANIMATION,CHARACTER_ANIMATION_SLOT_CONTRACT,db-main-animation-contract,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_DB_MAIN_SLOT_00,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]","Database tier Main animation slot 00 of 4. Read from NANR sequence counts: 216 regular entities declare 4 slots, 8 eggs declare 1. Distinct from the gameplay contract (40 Main / 13 Sub). Slot meaning is unnamed until traced."
art:character-animation:db-main-slot-01:rom-contract,CHARACTER_ANIMATION,CHARACTER_ANIMATION_SLOT_CONTRACT,db-main-animation-contract,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_DB_MAIN_SLOT_01,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]","Database tier Main animation slot 01 of 4. Read from NANR sequence counts: 216 regular entities declare 4 slots, 8 eggs declare 1. Distinct from the gameplay contract (40 Main / 13 Sub). Slot meaning is unnamed until traced."
art:character-animation:db-main-slot-02:rom-contract,CHARACTER_ANIMATION,CHARACTER_ANIMATION_SLOT_CONTRACT,db-main-animation-contract,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_DB_MAIN_SLOT_02,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]","Database tier Main animation slot 02 of 4. Read from NANR sequence counts: 216 regular entities declare 4 slots, 8 eggs declare 1. Distinct from the gameplay contract (40 Main / 13 Sub). Slot meaning is unnamed until traced."
art:character-animation:db-main-slot-03:rom-contract,CHARACTER_ANIMATION,CHARACTER_ANIMATION_SLOT_CONTRACT,db-main-animation-contract,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_DB_MAIN_SLOT_03,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]","Database tier Main animation slot 03 of 4. Read from NANR sequence counts: 216 regular entities declare 4 slots, 8 eggs declare 1. Distinct from the gameplay contract (40 Main / 13 Sub). Slot meaning is unnamed until traced."
art:character-animation:db-sub-slot-00:rom-contract,CHARACTER_ANIMATION,CHARACTER_ANIMATION_SLOT_CONTRACT,db-sub-animation-contract,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_DB_SUB_SLOT_00,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]","Database tier Sub animation slot 00 of 3. Read from NANR sequence counts: 216 regular entities declare 3 slots, 8 eggs declare 1. Distinct from the gameplay contract (40 Main / 13 Sub). Slot meaning is unnamed until traced."
art:character-animation:db-sub-slot-01:rom-contract,CHARACTER_ANIMATION,CHARACTER_ANIMATION_SLOT_CONTRACT,db-sub-animation-contract,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_DB_SUB_SLOT_01,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]","Database tier Sub animation slot 01 of 3. Read from NANR sequence counts: 216 regular entities declare 3 slots, 8 eggs declare 1. Distinct from the gameplay contract (40 Main / 13 Sub). Slot meaning is unnamed until traced."
art:character-animation:db-sub-slot-02:rom-contract,CHARACTER_ANIMATION,CHARACTER_ANIMATION_SLOT_CONTRACT,db-sub-animation-contract,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_DB_SUB_SLOT_02,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_BINARY,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]","Database tier Sub animation slot 02 of 3. Read from NANR sequence counts: 216 regular entities declare 3 slots, 8 eggs declare 1. Distinct from the gameplay contract (40 Main / 13 Sub). Slot meaning is unnamed until traced."
art:character-animation:main-slot-00:rom-contract,CHARACTER_ANIMATION,ANIMATION_SLOT_CONTRACT,main-animation-contract,YDIJ NANR decoded runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_SLOT_00,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,UNKNOWN_SEMANTIC,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]",Preserve RAW_SLOT_00 as the authoritative semantic label until runtime call-site evidence exists. Egg entities expose only slots 00-01; Digimon contract reaches the full side count.
art:character-animation:main-slot-01:rom-contract,CHARACTER_ANIMATION,ANIMATION_SLOT_CONTRACT,main-animation-contract,YDIJ NANR decoded runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_SLOT_01,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,UNKNOWN_SEMANTIC,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]",Preserve RAW_SLOT_01 as the authoritative semantic label until runtime call-site evidence exists. Egg entities expose only slots 00-01; Digimon contract reaches the full side count.
art:character-animation:main-slot-02:rom-contract,CHARACTER_ANIMATION,ANIMATION_SLOT_CONTRACT,main-animation-contract,YDIJ NANR decoded runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_SLOT_02,NDS_2D,PIXIJS_2D,NEEDS_REANIMATION,ORIGINAL_REPLACEMENT_REQUIRED,UNKNOWN_SEMANTIC,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ANIMATION_REPLACEMENT_REQUIRED"",""SEMANTIC_CALL_TRACE_REQUIRED""]",Preserve RAW_SLOT_02 as the authoritative semantic label until runtime call-site evidence exists. Egg entities expose only slots 00-01; Digimon contract reaches the full side count.
