assetId,domain,assetKind,logicalGroup,source,sourcePath,sourceType,originalFunction,originalRenderer,modernRenderer,productionStatus,shippingStatus,evidenceStatus,rightsStatus,replacementRequired,replacementComplete,humanApproved,runtimeQaPassed,dimensions,format,runtimeConsumer,visualQaStatus,generation,disposition,replacementAssetId,dependencies,blockers,notes
art:character:e000-digitama:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,e000_digitama,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_E000_DIGITAMA,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","egg; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
art:character:e001-digitama:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,e001_digitama,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_E001_DIGITAMA,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","egg; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
art:character:e002-digitama:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,e002_digitama,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_E002_DIGITAMA,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","egg; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
art:character:e003-digitama:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,e003_digitama,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_E003_DIGITAMA,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","egg; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
art:character:e004-digitama:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,e004_digitama,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_E004_DIGITAMA,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","egg; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
art:character:e005-digitama:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,e005_digitama,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_E005_DIGITAMA,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","egg; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
art:character:e006-digitama:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,e006_digitama,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_E006_DIGITAMA,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","egg; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
art:character:e007-digitama:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,e007_digitama,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_E007_DIGITAMA,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","egg; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
art:character:m001-zurumon:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,m001_zurumon,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_M001_ZURUMON,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","digimon; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
art:character:m002-choromon:rom-reference,CHARACTER,CHARACTER_ENTITY_REFERENCE,m002_choromon,YDIJ decoded character runtime manifest,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\02_CHARACTER_ART_STRUCTURE\digimon_runtime_manifest.json,DECODED_REFERENCE,RAW_ENTITY_M002_CHOROMON,NDS_2D,PIXIJS_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""NEXUS_IDENTITY_AND_RIGHTS_REPLACEMENT_REQUIRED""]","digimon; 8 gameplay files per entity contract (Main/Sub x NANR, graphics, NCER, NCLR). Rendered sheets are research-only; do not copy identity pixels into shipping art."
