assetId,domain,assetKind,logicalGroup,source,sourcePath,sourceType,originalFunction,originalRenderer,modernRenderer,productionStatus,shippingStatus,evidenceStatus,rightsStatus,replacementRequired,replacementComplete,humanApproved,runtimeQaPassed,dimensions,format,runtimeConsumer,visualQaStatus,generation,disposition,replacementAssetId,dependencies,blockers,notes
art:map:battle-01-01:field-reference,MAP,FIELD_UNATTRIBUTED_REFERENCE,field/battle_01_01,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_FIELD_BATTLE_01_01,NDS_2D,UNKNOWN_REQUIRES_TRACE,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,UNKNOWN_REQUIRES_TRACE,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ATTRIBUTION_UNKNOWN_REQUIRES_TRACE""]",Field art in the ROM that belongs to neither the 11-field battle catalog nor the Hunt biome set. Its consumer is unknown; do not assign it a biome or arena role without a code trace.
art:map:battle-08-01:field-reference,MAP,FIELD_UNATTRIBUTED_REFERENCE,field/battle_08_01,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_FIELD_BATTLE_08_01,NDS_2D,UNKNOWN_REQUIRES_TRACE,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,UNKNOWN_REQUIRES_TRACE,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ATTRIBUTION_UNKNOWN_REQUIRES_TRACE""]",Field art in the ROM that belongs to neither the 11-field battle catalog nor the Hunt biome set. Its consumer is unknown; do not assign it a biome or arena role without a code trace.
art:map:battle-15-01:field-reference,MAP,FIELD_UNATTRIBUTED_REFERENCE,field/battle_15_01,YDIJ ROM art census,docs/art/ROM_ART_CENSUS.json,ROM_BINARY,RAW_FIELD_BATTLE_15_01,NDS_2D,UNKNOWN_REQUIRES_TRACE,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,UNKNOWN_REQUIRES_TRACE,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ATTRIBUTION_UNKNOWN_REQUIRES_TRACE""]",Field art in the ROM that belongs to neither the 11-field battle catalog nor the Hunt biome set. Its consumer is unknown; do not assign it a biome or arena role without a code trace.
art:map:field-cm01-01:cage-reference,MAP,CAGE_ENVIRONMENT_REFERENCE,field_cm01_01,YDIJ Cage terrain visual map,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\CAGE_TERRAIN_VISUAL_MAP_40.csv,RESEARCH_DOCUMENT,CAGE_ENVIRONMENT_01,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,HIGH_CONFIDENCE_ENUM_ALIGNMENT,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ENVIRONMENT_REPLACEMENT_REQUIRED""]","Vacant Lot / あきち; preserve environment role, rebuild original visuals."
art:map:field-cm02-01:cage-reference,MAP,CAGE_ENVIRONMENT_REFERENCE,field_cm02_01,YDIJ Cage terrain visual map,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\CAGE_TERRAIN_VISUAL_MAP_40.csv,RESEARCH_DOCUMENT,CAGE_ENVIRONMENT_02,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,HIGH_CONFIDENCE_ENUM_ALIGNMENT,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ENVIRONMENT_REPLACEMENT_REQUIRED""]","Exercise Ground / うんどうじょう; preserve environment role, rebuild original visuals."
art:map:field-cm03-01:cage-reference,MAP,CAGE_ENVIRONMENT_REFERENCE,field_cm03_01,YDIJ Cage terrain visual map,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\CAGE_TERRAIN_VISUAL_MAP_40.csv,RESEARCH_DOCUMENT,CAGE_ENVIRONMENT_03,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,HIGH_CONFIDENCE_ENUM_ALIGNMENT,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ENVIRONMENT_REPLACEMENT_REQUIRED""]","Arena / きょうぎじょう; preserve environment role, rebuild original visuals."
art:map:field-cm04-01:cage-reference,MAP,CAGE_ENVIRONMENT_REFERENCE,field_cm04_01,YDIJ Cage terrain visual map,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\CAGE_TERRAIN_VISUAL_MAP_40.csv,RESEARCH_DOCUMENT,CAGE_ENVIRONMENT_04,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,HIGH_CONFIDENCE_ENUM_ALIGNMENT,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ENVIRONMENT_REPLACEMENT_REQUIRED""]","Dojo / どうじょう; preserve environment role, rebuild original visuals."
art:map:field-cm05-01:cage-reference,MAP,CAGE_ENVIRONMENT_REFERENCE,field_cm05_01,YDIJ Cage terrain visual map,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\CAGE_TERRAIN_VISUAL_MAP_40.csv,RESEARCH_DOCUMENT,CAGE_ENVIRONMENT_05,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,HIGH_CONFIDENCE_ENUM_ALIGNMENT,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ENVIRONMENT_REPLACEMENT_REQUIRED""]","Gym / ジム; preserve environment role, rebuild original visuals."
art:map:field-cm06-01:cage-reference,MAP,CAGE_ENVIRONMENT_REFERENCE,field_cm06_01,YDIJ Cage terrain visual map,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\CAGE_TERRAIN_VISUAL_MAP_40.csv,RESEARCH_DOCUMENT,CAGE_ENVIRONMENT_06,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,HIGH_CONFIDENCE_ENUM_ALIGNMENT,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ENVIRONMENT_REPLACEMENT_REQUIRED""]","Laboratory / けんきゅうじょ; preserve environment role, rebuild original visuals."
art:map:field-cm07-01:cage-reference,MAP,CAGE_ENVIRONMENT_REFERENCE,field_cm07_01,YDIJ Cage terrain visual map,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\03_MAP_ART_STRUCTURE\original_reference\CAGE_TERRAIN_VISUAL_MAP_40.csv,RESEARCH_DOCUMENT,CAGE_ENVIRONMENT_07,NDS_2D,LAYERED_2D,REUSABLE_STRUCTURE,ORIGINAL_REPLACEMENT_REQUIRED,HIGH_CONFIDENCE_ENUM_ALIGNMENT,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_ENVIRONMENT_REPLACEMENT_REQUIRED""]","Volcano / かざん; preserve environment role, rebuild original visuals."
