assetId,domain,assetKind,logicalGroup,source,sourcePath,sourceType,originalFunction,originalRenderer,modernRenderer,productionStatus,shippingStatus,evidenceStatus,rightsStatus,replacementRequired,replacementComplete,humanApproved,runtimeQaPassed,dimensions,format,runtimeConsumer,visualQaStatus,generation,disposition,replacementAssetId,dependencies,blockers,notes
art:ui:background-battle-menu-battle-setting-bg-main:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_menu/battle_setting_bg_main.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_menu__battle_setting_bg_main.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_MENU_BATTLE_SETTING_BG_MAIN_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 512x512 reference; research-only source pixels.
art:ui:background-battle-menu-bg-battle-top1:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_menu/bg_battle_top1.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_menu__bg_battle_top1.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_MENU_BG_BATTLE_TOP1_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x512 reference; research-only source pixels.
art:ui:background-battle-menu-net-desktop-top:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_menu_net/desktop_top.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_menu_net__desktop_top.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_MENU_NET_DESKTOP_TOP_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-battle-menu-net-desktop-under:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_menu_net/desktop_under.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_menu_net__desktop_under.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_MENU_NET_DESKTOP_UNDER_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-battle-menu-net-net-bg-main-btexly-bg1:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_menu_net/net_bg_main.BtExLy_bg1.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_menu_net__net_bg_main.BtExLy_bg1.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_MENU_NET_NET_BG_MAIN_BTEXLY_BG1_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-battle-menu-net-net-bg-main-btexly-bg2:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_menu_net/net_bg_main.BtExLy_bg2.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_menu_net__net_bg_main.BtExLy_bg2.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_MENU_NET_NET_BG_MAIN_BTEXLY_BG2_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-battle-menu-net-net-bg-main:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_menu_net/net_bg_main.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_menu_net__net_bg_main.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_MENU_NET_NET_BG_MAIN_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-battle-menu-net-net-bg-sub-btc8:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_menu_net/net_bg_sub.BtC8.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_menu_net__net_bg_sub.BtC8.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_MENU_NET_NET_BG_SUB_BTC8_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-battle-menu-net-net-bg-sub:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_menu_net/net_bg_sub.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_menu_net__net_bg_sub.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_MENU_NET_NET_BG_SUB_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
art:ui:background-battle-result-desktop-top:rom-reference,UI,UI_BACKGROUND_REFERENCE,battle_result/desktop_top.nscr,YDIJ UI background extraction,R:\NEXUS LINK\原作\CLAUDE_CODE_YDIJ_HANDOFF\01_UI_ART_LAYOUT\extracted_reference\YDIJ_UI_REFERENCE\ui_backgrounds\battle_result__desktop_top.png,ROM_EXTRACTED_REFERENCE,RAW_UI_BACKGROUND_BATTLE_RESULT_DESKTOP_TOP_NSCR,NDS_2D,LAYERED_2D,NEEDS_REBUILD,ORIGINAL_REPLACEMENT_REQUIRED,VERIFIED_CROSSCHECK,ROM_COPYRIGHTED_REFERENCE,true,,,,,,,,,REBUILD,,[],"[""ORIGINAL_VISUAL_REPLACEMENT_REQUIRED""]",Verified 256x256 reference; research-only source pixels.
