speciesIndex,entityId,kind,mainSequences,mainFrameReferences,reactionCasesExercisedByFocusedTest,reactionScope,normalAllBehaviors,visualAllBehaviors,device
0,e000_digitama,EGG,2,13,0,ADULT_REACTIONS_NOT_APPLIED,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
1,e001_digitama,EGG,2,13,0,ADULT_REACTIONS_NOT_APPLIED,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
2,e002_digitama,EGG,2,13,0,ADULT_REACTIONS_NOT_APPLIED,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
3,e003_digitama,EGG,2,13,0,ADULT_REACTIONS_NOT_APPLIED,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
4,e004_digitama,EGG,2,13,0,ADULT_REACTIONS_NOT_APPLIED,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
5,e005_digitama,EGG,2,13,0,ADULT_REACTIONS_NOT_APPLIED,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
6,e006_digitama,EGG,2,13,0,ADULT_REACTIONS_NOT_APPLIED,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
7,e007_digitama,EGG,2,13,0,ADULT_REACTIONS_NOT_APPLIED,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
8,m001_zurumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
9,m002_choromon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
10,m003_nyokimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
11,m004_bubbmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
12,m005_pitchmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
13,m006_punimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
14,m007_botamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
15,m008_poyomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
16,m009_mokumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
17,m010_yukimibotamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
18,m011_yuramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
19,m012_petimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
20,m101_caprimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
21,m102_koromon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
22,m103_tanemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
23,m104_tunomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
24,m105_tokomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
25,m106_nyaromon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
26,m107_pagumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
27,m108_pyokomon,REGULAR,40,66,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
28,m109_pukamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
29,m110_petimemramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
30,m111_mochimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
31,m112_bebydomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
32,m113_sunmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
33,m114_moonmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
34,m201_agumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
35,m202_armadimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
36,m203_elecmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
37,m204_otamamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
38,m205_gaomon,REGULAR,40,70,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
39,m206_gazimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
