021229DC andeq    sb, ip, #0x2c400
021229E0 andeq    sb, ip, #0x2c800
021229E4 andeq    r0, r0, r8, lsl #8
021229E8 mov      r0, #0
021229EC bx       lr
021229F0 mov      r0, #0
021229F4 bx       lr
021229F8 mov      r0, #0
021229FC bx       lr
02122A00 mvn      r0, #0
02122A04 bx       lr
02122A08 mov      r0, #0
02122A0C bx       lr
02122A10 mov      r0, #0
02122A14 bx       lr
02122A18 mov      r0, #0
02122A1C bx       lr
02122A20 mvn      r0, #0
02122A24 bx       lr
02122A28 mov      r0, #0
02122A2C bx       lr
02122A30 mov      r0, #0
02122A34 bx       lr
02122A38 mov      r0, #0
02122A3C bx       lr
02122A40 mvn      r0, #0
02122A44 bx       lr
02122A48 mov      r0, #0
02122A4C bx       lr
02122A50 mov      r0, #0
02122A54 bx       lr
02122A58 mov      r0, #0
02122A5C bx       lr
02122A60 ldr      r1, [pc, #4] ; literal=0x0212A7E0
02122A64 str      r1, [r0]
02122A68 bx       lr
02122A6C andseq   sl, r2, #224, #14
02122A70 push     {r4, lr}
02122A74 ldr      r1, [pc, #0x18] ; literal=0x0212A7E0
02122A78 mov      r4, r0
02122A7C str      r1, [r4]
02122A80 ldr      r1, [r0]
02122A84 ldr      r1, [r1, #8]
02122A88 blx      r1
02122A8C mov      r0, r4
02122A90 pop      {r4, pc}
02122A94 andseq   sl, r2, #224, #14
02122A98 push     {r4, lr}
02122A9C ldr      r1, [pc, #0x20] ; literal=0x0212A7E0
02122AA0 mov      r4, r0
02122AA4 str      r1, [r4]
02122AA8 ldr      r1, [r0]
02122AAC ldr      r1, [r1, #8]
02122AB0 blx      r1
02122AB4 mov      r0, r4
02122AB8 bl       #0x20505f8
02122ABC mov      r0, r4
02122AC0 pop      {r4, pc}
02122AC4 andseq   sl, r2, #224, #14
02122AC8 push     {r3, r4, r5, r6, r7, r8, sb, sl, fp, lr}
02122ACC mov      sl, r0
02122AD0 mov      r0, #0x48
02122AD4 bl       #0x2050604
02122AD8 mov      r7, #0
02122ADC mov      r5, #0x3c0000
02122AE0 rsb      r5, r5, #0
02122AE4 mov      sb, r7
02122AE8 str      r0, [sl, #0x30]
02122AEC sub      r4, r5, #0x1000
02122AF0 mov      fp, r7
02122AF4 ldr      r6, [sl, #0x30]
02122AF8 ldr      r1, [pc, #0x104] ; literal=0x02047550
02122AFC ldr      r3, [pc, #0x104] ; literal=0x020474F4
02122B00 str      r1, [sp]
02122B04 mov      r0, #4
02122B08 mov      r1, #0xd4
02122B0C mov      r2, #8
02122B10 add      r8, r6, sb
02122B14 bl       #0x202d4b8
02122B18 str      r0, [r6, sb]
02122B1C ldr      r1, [r6, sb]
02122B20 mov      r0, #3
02122B24 mov      r2, #0
02122B28 bl       #0x211ba44
02122B2C str      r0, [sl, #0x3c]
02122B30 ldr      r1, [r6, sb]
02122B34 mov      r0, #3
02122B38 mov      r2, #0
02122B3C add      r1, r1, #0xd4
02122B40 bl       #0x211ba44
02122B44 ldr      r1, [r6, sb]
02122B48 mov      r0, #3
02122B4C mov      r2, #0
02122B50 add      r1, r1, #0x27c
02122B54 bl       #0x211ba44
02122B58 ldr      r1, [r6, sb]
02122B5C mov      r0, #3
02122B60 mov      r2, #0
02122B64 add      r1, r1, #0x1a8
02122B68 bl       #0x211ba44
02122B6C ldr      r0, [r6, sb]
02122B70 mov      r1, #0
02122B74 bl       #0x2047904
02122B78 ldr      r0, [r6, sb]
02122B7C mov      r1, #1
02122B80 add      r0, r0, #0xd4
02122B84 bl       #0x2047904
02122B88 ldr      r0, [r6, sb]
02122B8C mov      r1, #1
02122B90 add      r0, r0, #0x27c
02122B94 bl       #0x2047904
02122B98 ldr      r0, [r6, sb]
02122B9C mov      r1, #0
02122BA0 add      r0, r0, #0x1a8
02122BA4 bl       #0x2047904
02122BA8 ldr      r0, [r6, sb]
02122BAC add      r7, r7, #1
02122BB0 str      r5, [r0, #0x34]
02122BB4 ldr      r0, [r6, sb]
02122BB8 cmp      r7, #2
02122BBC str      r4, [r0, #0x108]
02122BC0 ldr      r0, [r6, sb]
02122BC4 str      r4, [r0, #0x2b0]
02122BC8 ldr      r0, [r6, sb]
02122BCC add      sb, sb, #0x24
02122BD0 str      r5, [r0, #0x1dc]
02122BD4 str      fp, [r8, #0x20]
02122BD8 blt      #0x2122af4
02122BDC ldr      r1, [pc, #0x28] ; literal=0x0212A7F0
02122BE0 mov      r0, sl
02122BE4 str      fp, [sl, #0x34]
02122BE8 mvn      r3, #0
02122BEC mov      r2, #0x80
02122BF0 str      r3, [sl, #0x38]
